hour,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,raining
17,25.59,24.9,26.0,1013.0,83,2.6,120,True
22,24.91,24.91,24.91,1012.0,87,8.99,109,True
23,27.0,27.0,27.0,1008.1,94,3.6,310,True
0,27.15,27.0,27.3,1012.0,83,6.2,280,True
0,27.12,27.0,27.4,1007.5,83,5.1,260,True
0,28.13,27.4,29.0,1012.0,74,5.71,107,True
22,26.0,26.0,26.0,1010.2,94,2.1,170,True
18,26.15,26.15,26.15,1011.0,90,7.18,105,True
9,27.58,27.58,27.58,1010.0,84,4.7,119,True
21,26.9,26.9,26.9,1009.0,84,6.61,103,True
19,24.68,24.68,24.68,1011.0,88,6.45,121,True
21,26.51,26.51,26.51,1009.0,89,4.15,94,True
17,27.25,27.25,27.25,1010.0,89,2.92,109,True
